"Round","Date","Time","HomeTeam","HowegoalsFT","AwaygoalsFT","HomegoalsHT","AwaygoalsHT","AwayTeam","Month","Day","Year"
"1",2018-07-27,NA,"KAA Gent","3","2",NA,NA,"Standard Liège","Jul","27",2018
"1",2018-07-28,NA,"KV Kortrijk","1","4",NA,NA,"RSC Anderlecht","Jul","28",2018
"1",2018-07-28,NA,"SV Zulte Waregem","2","2",NA,NA,"Waasland-Beveren","Jul","28",2018
"1",2018-07-28,NA,"KV Oostende","2","1",NA,NA,"Royal Excel Mouscron","Jul","28",2018
"1",2018-07-28,NA,"Sint-Truidense VV","0","0",NA,NA,"Cercle Brugge","Jul","28",2018
"1",2018-07-29,NA,"Club Brugge","5","2",NA,NA,"KAS Eupen","Jul","29",2018
"1",2018-07-29,NA,"KRC Genk","0","4",NA,NA,"KSC Lokeren OV","Jul","29",2018
"1",2018-07-29,NA,"Sporting Charleroi","0","1",NA,NA,"Royal Antwerp FC","Jul","29",2018
"2",2018-08-03,NA,"Standard Liège","0","0",NA,NA,"Waasland-Beveren","Aug","3",2018
"2",2018-08-04,NA,"Cercle Brugge","3","2",NA,NA,"KSC Lokeren OV","Aug","4",2018
"2",2018-08-04,NA,"KAS Eupen","1","4",NA,NA,"Sporting Charleroi","Aug","4",2018
"2",2018-08-04,NA,"KAA Gent","1","1",NA,NA,"SV Zulte Waregem","Aug","4",2018
"2",2018-08-04,NA,"Royal Antwerp FC","0","0",NA,NA,"KV Kortrijk","Aug","4",2018
"2",2018-08-05,NA,"KV Oostende","5","2",NA,NA,"RSC Anderlecht","Aug","5",2018
"2",2018-08-05,NA,"KRC Genk","1","1",NA,NA,"Sint-Truidense VV","Aug","5",2018
"2",2018-08-05,NA,"Royal Excel Mouscron","0","1",NA,NA,"Club Brugge","Aug","5",2018
"3",2018-08-10,NA,"Club Brugge","3","0",NA,NA,"KV Kortrijk","Aug","10",2018
"3",2018-08-11,NA,"Cercle Brugge","0","0",NA,NA,"Standard Liège","Aug","11",2018
"3",2018-08-11,NA,"Royal Excel Mouscron","0","1",NA,NA,"Royal Antwerp FC","Aug","11",2018
"3",2018-08-11,NA,"Sint-Truidense VV","1","1",NA,NA,"KSC Lokeren OV","Aug","11",2018
"3",2018-08-11,NA,"SV Zulte Waregem","4","0",NA,NA,"KAS Eupen","Aug","11",2018
"3",2018-08-12,NA,"KV Oostende","0","2",NA,NA,"KRC Genk","Aug","12",2018
"3",2018-08-12,NA,"KAA Gent","4","1",NA,NA,"Waasland-Beveren","Aug","12",2018
"3",2018-08-12,NA,"Sporting Charleroi","1","2",NA,NA,"RSC Anderlecht","Aug","12",2018
"4",2018-08-17,NA,"Royal Excel Mouscron","2","0",NA,NA,"RSC Anderlecht","Aug","17",2018
"4",2018-08-18,NA,"Standard Liège","0","3",NA,NA,"KSC Lokeren OV","Aug","18",2018
"4",2018-08-18,NA,"Cercle Brugge","3","1",NA,NA,"SV Zulte Waregem","Aug","18",2018
"4",2018-08-18,NA,"KV Kortrijk","1","2",NA,NA,"KV Oostende","Aug","18",2018
"4",2018-08-18,NA,"Sint-Truidense VV","2","2",NA,NA,"Waasland-Beveren","Aug","18",2018
"4",2018-08-19,NA,"Royal Antwerp FC","1","1",NA,NA,"Club Brugge","Aug","19",2018
"4",2018-08-19,NA,"KAS Eupen","2","3",NA,NA,"KAA Gent","Aug","19",2018
"4",2018-08-19,NA,"KRC Genk","3","1",NA,NA,"Sporting Charleroi","Aug","19",2018
"5",2018-08-24,NA,"KV Oostende","3","1",NA,NA,"SV Zulte Waregem","Aug","24",2018
"5",2018-08-25,NA,"Sporting Charleroi","0","2",NA,NA,"KV Kortrijk","Aug","25",2018
"5",2018-08-25,NA,"Sint-Truidense VV","3","2",NA,NA,"Standard Liège","Aug","25",2018
"5",2018-08-25,NA,"Royal Antwerp FC","1","0",NA,NA,"Cercle Brugge","Aug","25",2018
"5",2018-08-25,NA,"Royal Excel Mouscron","0","1",NA,NA,"KAS Eupen","Aug","25",2018
"5",2018-08-26,NA,"Club Brugge","2","1",NA,NA,"RSC Anderlecht","Aug","26",2018
"5",2018-08-26,NA,"KAA Gent","2","1",NA,NA,"KSC Lokeren OV","Aug","26",2018
"5",2018-08-26,NA,"KRC Genk","3","2",NA,NA,"Waasland-Beveren","Aug","26",2018
"6",2018-08-31,NA,"SV Zulte Waregem","2","5",NA,NA,"Club Brugge","Aug","31",2018
"6",2018-09-01,NA,"KAS Eupen","2","1",NA,NA,"Standard Liège","Sep","1",2018
"6",2018-09-01,NA,"Sporting Charleroi","3","1",NA,NA,"Royal Excel Mouscron","Sep","1",2018
"6",2018-09-01,NA,"Sint-Truidense VV","1","0",NA,NA,"KV Oostende","Sep","1",2018
"6",2018-09-01,NA,"KSC Lokeren OV","1","0",NA,NA,"Waasland-Beveren","Sep","1",2018
"6",2018-09-02,NA,"Royal Antwerp FC","1","1",NA,NA,"RSC Anderlecht","Sep","2",2018
"6",2018-09-02,NA,"Cercle Brugge","0","3",NA,NA,"KAA Gent","Sep","2",2018
"6",2018-09-02,NA,"KV Kortrijk","3","3",NA,NA,"KRC Genk","Sep","2",2018
"7",2018-09-14,NA,"Club Brugge","2","1",NA,NA,"KSC Lokeren OV","Sep","14",2018
"7",2018-09-15,NA,"Sporting Charleroi","0","0",NA,NA,"Standard Liège","Sep","15",2018
"7",2018-09-15,NA,"KRC Genk","1","0",NA,NA,"RSC Anderlecht","Sep","15",2018
"7",2018-09-15,NA,"KAS Eupen","0","0",NA,NA,"Waasland-Beveren","Sep","15",2018
"7",2018-09-15,NA,"KV Oostende","1","1",NA,NA,"Cercle Brugge","Sep","15",2018
"7",2018-09-16,NA,"Royal Excel Mouscron","1","0",NA,NA,"KV Kortrijk","Sep","16",2018
"7",2018-09-16,NA,"KAA Gent","1","2",NA,NA,"Sint-Truidense VV","Sep","16",2018
"7",2018-09-16,NA,"Royal Antwerp FC","5","1",NA,NA,"SV Zulte Waregem","Sep","16",2018
"8",2018-09-21,NA,"SV Zulte Waregem","0","2",NA,NA,"KV Kortrijk","Sep","21",2018
"8",2018-09-22,NA,"Sporting Charleroi","1","1",NA,NA,"Waasland-Beveren","Sep","22",2018
"8",2018-09-22,NA,"KAS Eupen","1","2",NA,NA,"KV Oostende","Sep","22",2018
"8",2018-09-22,NA,"Royal Excel Mouscron","0","0",NA,NA,"KSC Lokeren OV","Sep","22",2018
"8",2018-09-22,NA,"Sint-Truidense VV","2","0",NA,NA,"Royal Antwerp FC","Sep","22",2018
"8",2018-09-23,NA,"KAA Gent","0","4",NA,NA,"Club Brugge","Sep","23",2018
"8",2018-09-23,NA,"Standard Liège","2","1",NA,NA,"RSC Anderlecht","Sep","23",2018
"8",2018-09-23,NA,"Cercle Brugge","2","5",NA,NA,"KRC Genk","Sep","23",2018
"9",2018-09-28,NA,"KV Kortrijk","1","3",NA,NA,"KAS Eupen","Sep","28",2018
"9",2018-09-29,NA,"KRC Genk","4","0",NA,NA,"SV Zulte Waregem","Sep","29",2018
"9",2018-09-29,NA,"Royal Excel Mouscron","0","3",NA,NA,"Waasland-Beveren","Sep","29",2018
"9",2018-09-29,NA,"Sporting Charleroi","2","1",NA,NA,"KSC Lokeren OV","Sep","29",2018
"9",2018-09-29,NA,"Club Brugge","4","0",NA,NA,"Cercle Brugge","Sep","29",2018
"9",2018-09-30,NA,"Sint-Truidense VV","0","0",NA,NA,"RSC Anderlecht","Sep","30",2018
"9",2018-09-30,NA,"Royal Antwerp FC","2","2",NA,NA,"KAA Gent","Sep","30",2018
"9",2018-09-30,NA,"KV Oostende","1","3",NA,NA,"Standard Liège","Sep","30",2018
