"Date","Time","HomeTeam","AwayTeam","Home","Draw","Away","Day","Year","Month"
2020-10-17,2020-10-08 15:15:00,"Cercle Brugge","Gent","12/5","3/1","15/13","17","2020","October"
2020-10-17,2020-10-08 17:30:00,"Germinal Beerschot","St Truiden","7/10","31/10","17/4","17","2020","October"
2020-10-17,2020-10-08 17:30:00,"Mechelen","Kortrijk","6/5","11/4","5/2","17","2020","October"
2020-10-17,2020-10-08 19:45:00,"Standard de Liege","Club Brugge","28/11","13/5","17/14","17","2020","October"
2020-10-18,2020-10-08 12:30:00,"Zulte Waregem","Royal Antwerp","7/3","31/11","11/10","18","2020","October"
2020-10-18,2020-10-08 15:00:00,"Mouscron","Eupen","11/5","13/5","27/20","18","2020","October"
2020-10-18,2020-10-08 17:15:00,"Genk","Charleroi","17/11","5/2","29/16","18","2020","October"
2020-10-18,2020-10-08 19:30:00,"Anderlecht","Oud-Heverlee","8/15","18/5","5/1","18","2020","October"
2020-10-19,2020-10-08 19:45:00,"Waasland Beveren","Oostende","11/4","54/19","42/41","19","2020","October"
2020-10-23,2020-10-08 19:45:00,"Kortrijk","Anderlecht","12/5","14/5","1/1","23","2020","October"
2020-10-24,2020-10-08 15:15:00,"Eupen","Mechelen","11/9","11/4","19/10","24","2020","October"
2020-10-24,2020-10-08 17:30:00,"Cercle Brugge","Mouscron","3/4","56/19","13/4","24","2020","October"
2020-10-24,2020-10-08 19:45:00,"Oud-Heverlee","Club Brugge","7/1","9/2","1/3","24","2020","October"
2020-10-25,2020-10-08 12:30:00,"Royal Antwerp","Germinal Beerschot","7/9","29/10","41/13","25","2020","October"
2020-10-25,2020-10-08 15:00:00,"Oostende","Zulte Waregem","21/20","27/10","23/10","25","2020","October"
2020-10-25,2020-10-08 17:15:00,"St Truiden","Standard de Liege","3/1","29/10","4/5","25","2020","October"
2020-10-25,2020-10-08 19:45:00,"Charleroi","Waasland Beveren","5/18","5/1","8/1","25","2020","October"
2020-10-26,2020-10-08 19:45:00,"Gent","Genk","9/11","14/5","3/1","26","2020","October"
