"Position","Player Name","Team Name","Nationality","Height","Weight","Age","Condition","Overall Rating"
"RWF","L. MESSI","FC BARCELONA","ARGENTINA",170,72,33,"B",94
"LWF","C. RONALDO","JUVENTUS","PORTUGAL",187,83,35,"B",93
"CF","R. LEWANDOWSKI","FC BAYERN MÜNCHEN","POLAND",185,79,32,"D",92
"LWF","NEYMAR","PSG","BRAZIL",175,68,28,"B",92
"AMF","K. DE BRUYNE","MANCHESTER B","BELGIUM",181,68,29,"C",92
"GK","J. OBLAK","MADRID ROSAS RB","SLOVENIA",188,87,27,"B",91
"CB","V. VAN DIJK","LIVERPOOL R","NETHERLANDS",193,92,29,"C",91
"CF","K. MBAPPÉ","PSG","FRANCE",178,73,22,"B",91
"CB","SERGIO RAMOS","MADRID CHAMARTIN B","SPAIN",184,82,34,"A",90
"CF","S. AGÜERO","MANCHESTER B","ARGENTINA",173,70,32,"C",90
"LWF","S. MANÉ","LIVERPOOL R","SENEGAL",175,69,28,"C",90
"GK","ALISSON","LIVERPOOL R","BRAZIL",191,91,28,"C",90
"GK","M. NEUER","FC BAYERN MÜNCHEN","GERMANY",193,92,34,"D",89
"CF","L. SUÁREZ","FC BARCELONA","URUGUAY",182,86,33,"C",89
"DMF","CASEMIRO","MADRID CHAMARTIN B","BRAZIL",185,84,28,"C",89
"CF","H. KANE","TOTTENHAM WB","ENGLAND",188,76,27,"C",89
"RWF","M. SALAH","LIVERPOOL R","EGYPT",175,71,28,"C",89
"GK","M. TER STEGEN","FC BARCELONA","GERMANY",187,85,28,"C",89
"CF","K. BENZEMA","MADRID CHAMARTIN B","FRANCE",185,81,33,"D",88
"CMF","T. KROOS","MADRID CHAMARTIN B","GERMANY",183,76,30,"C",88
"LWF","E. HAZARD","MADRID CHAMARTIN B","BELGIUM",173,76,29,"C",88
"DMF","BUSQUETS","FC BARCELONA","SPAIN",189,76,32,"C",88
"CF","P. AUBAMEYANG","ARSENAL","GABON",187,80,31,"C",88
"GK","DAVID DE GEA","MANCHESTER UNITED","SPAIN",193,82,30,"C",88
"CMF","THIAGO","LIVERPOOL R","SPAIN",174,70,29,"C",88
"LWF","A. GRIEZMANN","FC BARCELONA","FRANCE",176,73,29,"D",88
"CB","R. VARANE","MADRID CHAMARTIN B","FRANCE",191,81,27,"C",88
"GK","T. COURTOIS","MADRID CHAMARTIN B","BELGIUM",199,96,28,"C",88
"LWF","R. STERLING","MANCHESTER B","ENGLAND",170,69,26,"D",88
"GK","EDERSON","MANCHESTER B","BRAZIL",188,86,27,"E",88
"SS","P. DYBALA","JUVENTUS","ARGENTINA",177,75,27,"C",88
"CMF","N. KANTÉ","CHELSEA B","FRANCE",168,68,29,"C",88
"LWF","AKRAM AFIF","AL SADD","QATAR",177,69,24,"C",77
"RMF","EDMILSON JUNIOR","AL DUHAIL","BRAZIL",182,71,26,"C",77
"GK","W. CABALLERO","CHELSEA B","ARGENTINA",186,80,39,"E",76
"GK","FÁBIO","CRUZEIRO","BRAZIL",188,92,40,"C",76
"RWF","R. QUARESMA","VITÓRIA GUIMARÃES","PORTUGAL",175,67,37,"C",76
"SS","G. PANDEV","GENOA","NORTH MACEDONIA",184,75,37,"D",76
"AMF","NENÊ","FLUMINENSE","BRAZIL",181,70,39,"C",76
"CF","J. BRIAND","BORDEAUX","FRANCE",182,85,35,"C",76
"CF","K. HUNTELAAR","AJAX","NETHERLANDS",186,83,37,"C",76
"DMF","K. EL AHMADI","Free Agents","MOROCCO",179,78,35,"C",76
"DMF","JAVI GARCÍA","BOAVISTA","SPAIN",187,82,33,"C",76
"GK","RUBÉN","PAMPLONA RA","SPAIN",188,79,36,"C",76
"GK","S. VIERA","JUNIOR","URUGUAY",184,86,37,"C",76
"AMF","S. KAGAWA","ZARAGOZA BA","JAPAN",175,68,31,"C",76
"CB","M. YOSHIDA","SAMPDORIA","JAPAN",189,79,32,"C",76
"LB","Y. NAGATOMO","OLYMPIQUE MARSEILLE","JAPAN",170,68,34,"C",76
"LB","Y. ZHIRKOV","ZENIT","RUSSIA",180,75,37,"C",76
"LB","FÁBIO SANTOS","ATLÉTICO MINEIRO","BRAZIL",179,76,35,"C",76
"CB","W. JANSSEN","UTRECHT","NETHERLANDS",186,75,34,"C",76
"GK","W. HENNESSEY","CRYSTAL PALACE RB","WALES",198,90,33,"C",76
"DMF","J. OBI MIKEL","STOKE RW","NIGERIA",186,86,33,"B",76
"CB","R. KLAVAN","CAGLIARI","ESTONIA",187,78,35,"C",76
"DMF","N. SAHIN","ANTALYASPOR","TURKEY",180,73,32,"C",76
"DMF","S. BROWN","CELTIC","SCOTLAND",175,73,35,"C",76
"CF","SOLDADO","GRANADA RB","SPAIN",180,74,35,"C",76
"CB","J. MOREL","LORIENT","MADAGASCAR",172,71,36,"C",76
"CF","S. LONG","SOUTHAMPTON RW","IRELAND",178,81,33,"C",76
"GK","J. HART","TOTTENHAM WB","ENGLAND",196,91,33,"C",76
"SS","RAFAEL SÓBIS","CEARÁ","BRAZIL",175,78,35,"C",76
"CF","A. CARROLL","NEWCASTLE WB","ENGLAND",193,79,31,"C",76
"LB","C. FUCHS","LEICESTER B","AUSTRIA",187,89,34,"C",76
"AMF","HERNANES","SÃO PAULO","BRAZIL",180,76,35,"C",76
"CB","A. EPUREANU","ISTANBUL BASAKSEHIR","MOLDOVA",189,85,34,"C",76
"LB","C. ERKIN","FENERBAHÇE","TURKEY",181,72,32,"C",76
"AMF","L. REFAELOV","ANTWERP","ISRAEL",176,70,34,"B",76
"AMF","W. MONTILLO","UNIVERSIDAD DE CHILE","ARGENTINA",172,71,36,"C",76
"CMF","N. VIOLA","BENEVENTO","ITALY",180,76,31,"C",76
"CMF","A. POLI","BOLOGNA","ITALY",182,77,31,"C",76
"CB","S. IACOPONI","PARMA","ITALY",180,73,33,"C",76
"CB","J. TOMKINS","CRYSTAL PALACE RB","ENGLAND",192,74,31,"C",76
"RB","M. ISLA","Free Agents","CHILE",176,76,32,"C",76
"CB","KIKO OLIVAS","VALLADOLID MB","SPAIN",184,76,32,"C",76
"RWF","B. DZSUDZSÁK","Free Agents","HUNGARY",179,76,34,"C",76
"LB","F. MONZÓN","ATLÉTICO TUCUMÁN","ARGENTINA",179,82,33,"C",76
"CB","F. RONCAGLIA","PAMPLONA RA","ARGENTINA",179,76,33,"C",76
"CF","D. CVITANICH","RACING CLUB","ARGENTINA",177,70,36,"C",76
"RB","D. JANMAAT","WATFORD BY","NETHERLANDS",185,80,31,"C",76
"CB","S. BOCCHETTI","HELLAS VERONA","ITALY",186,81,34,"C",76
"CF","D. WELBECK","WATFORD BY","ENGLAND",185,73,30,"C",76
"RB","FÁBIO","NANTES","BRAZIL",172,74,30,"C",76
"CMF","T. CLEVERLEY","WATFORD BY","ENGLAND",175,67,31,"B",76
"CMF","J. WILSHERE","WEST HAM RB","ENGLAND",172,68,28,"C",76
"CB","T. KOLODZIEJCZAK","SAINT-ÉTIENNE","FRANCE",185,75,29,"C",76
"CB","C. CLARK","NEWCASTLE WB","IRELAND",185,88,31,"C",76
"LB","DÍDAC VILÁ","LLOBREGAT AB","SPAIN",185,74,31,"C",76
"GK","S. BOLAT","GENT","TURKEY",190,79,32,"C",76
"RB","D. FARAONI","HELLAS VERONA","ITALY",180,71,29,"B",76
"AMF","G. KAKUTA","RC LENS","CONGO DR",173,64,29,"B",76
"CF","J. RODRIGUEZ","BURNLEY RB","ENGLAND",185,80,31,"C",76
"CMF","M. ABEID","NANTES","ALGERIA",178,77,28,"D",76
"DMF","R. KAMBOLOV","KRASNODAR","RUSSIA",180,79,30,"C",76
"LB","G. SHCHENNIKOV","CSKA MOSKVA","RUSSIA",180,75,29,"B",76
"CMF","A. YUSUPOV","SOCHI","RUSSIA",180,73,31,"C",76
"RB","R. ROSALES","LEGANÉS AB","VENEZUELA",174,70,32,"B",76
"CF","Á. SZALAI","Free Agents","HUNGARY",193,90,33,"C",76
"CB","S. DANN","CRYSTAL PALACE RB","ENGLAND",188,76,33,"C",76
"CB","N. VIERGEVER","PSV","NETHERLANDS",183,78,31,"C",76
"GK","S. PESJAKOV","ROSTOV","RUSSIA",199,96,32,"C",76
"CMF","MÍCHEL","VALLADOLID MB","SPAIN",182,68,32,"C",76
"CB","K. T. CATHERINE","DINAMO ZAGREB","FRANCE",183,86,31,"B",76
"GK","L. CHICHIZOLA","GETAFE A","ARGENTINA",185,80,30,"C",76
"CF","ALAN KARDEC","CHONGQING DANGDAI LIFAN","BRAZIL",187,80,31,"C",76
"DMF","M. GONALONS","GRANADA RB","FRANCE",187,76,31,"C",76
"AMF","G. MORENO","SHANGHAI SHENHUA","COLOMBIA",192,83,34,"C",76
"AMF","F. ÐURICIC","SASSUOLO","SERBIA",181,75,28,"A",76
"LB","M. RYBUS","LOKOMOTIV MOSKVA","POLAND",173,75,31,"B",76
"CF","H. SEFEROVIC","BENFICA","SWITZERLAND",189,85,28,"B",76
"CMF","PINA","ÁLAVA AB","SPAIN",184,78,33,"C",76
"LMF","JUANMI","SEVILLA TRIANA VB","SPAIN",172,69,27,"C",76
"GK","RAFAEL","ATLÉTICO MINEIRO","BRAZIL",192,84,31,"C",76
"CB","THIAGO HELENO","ATHLETICO PARANAENSE","BRAZIL",187,95,32,"B",76
"AMF","M. FÓRMICA","NEWELL'S OLD BOYS","ARGENTINA",176,67,32,"C",76
"LWF","E. PUCH","UNIVERSIDAD CATÓLICA","CHILE",168,72,34,"C",76
"RB","F. SÁNCHEZ","PANATHINAIKOS","ARGENTINA",176,76,30,"C",76
"CF","S. SILVA","ARGENTINOS JUNIORS","URUGUAY",183,83,40,"C",76
"CB","C. QUINTANA","ARGENTINOS JUNIORS","ARGENTINA",190,88,32,"C",76
"CF","C. BACCA","VILLARREAL A","COLOMBIA",181,77,34,"C",76
"CMF","B. NATCHO","Free Agents","ISRAEL",176,77,32,"C",76
"CB","S. AZIZ","FENERBAHÇE","TURKEY",183,86,30,"C",76
"CB","W. REID","Free Agents","NEW ZEALAND",190,87,32,"C",76
"RB","KIKO FEMENÍA","WATFORD BY","SPAIN",176,61,29,"C",76
"LWF","B. LINSSEN","FEYENOORD","NETHERLANDS",170,70,30,"C",76
"RWF","IBAI GÓMEZ","BILBAO BR","SPAIN",177,72,31,"C",76
"DMF","J. CLASIE","AZ","NETHERLANDS",169,66,29,"C",76
"SS","L. RODRÍGUEZ","COLÓN","ARGENTINA",168,71,35,"C",76
"AMF","GANSO","FLUMINENSE","BRAZIL",182,78,31,"C",76
"CMF","J. LIVERMORE","WEST BROMWICH WB","ENGLAND",180,76,31,"C",76
"CMF","A. MAHER","UTRECHT","NETHERLANDS",175,76,27,"C",76
"RMF","J. GUÐMUNDSSON","BURNLEY RB","ICELAND",186,78,30,"C",76
"CB","L. KONÉ","STRASBOURG","CÔTE D'IVOIRE",189,90,31,"C",76
"LB","J. HOLEBAS","OLYMPIAKOS PIRAEUS","GREECE",184,77,36,"C",76
"RB","J. TAVERNIER","RANGERS","ENGLAND",175,81,29,"A",76
"CMF","J. MCARTHUR","CRYSTAL PALACE RB","SCOTLAND",178,75,33,"C",76
"CF","N. BLANDI","COLO COLO","ARGENTINA",181,78,30,"C",76
"LB","E. MENA","RACING CLUB","CHILE",173,74,32,"C",76
"DMF","N. MENDY","LEICESTER B","FRANCE",168,68,28,"C",76
"RB","MARTÍN MONTOYA","SEVILLA TRIANA VB","SPAIN",174,74,29,"D",76
